 time            v(g_pulse)      v(n1)          
 1.46160034e-10  1.20000000e+00  1.49055097e-01 
 1.46602795e-10  1.20000000e+00  1.45074020e-01 
 1.47057250e-10  1.20000000e+00  1.41046351e-01 
 1.47525566e-10  1.20000000e+00  1.36966251e-01 
 1.48009339e-10  1.20000000e+00  1.32835605e-01 
 1.48444924e-10  1.20000000e+00  1.29196132e-01 
 1.48765374e-10  1.20000000e+00  1.26570154e-01 
 1.49135234e-10  1.20000000e+00  1.23596875e-01 
 1.49518724e-10  1.20000000e+00  1.20582212e-01 
 1.49853560e-10  1.20000000e+00  1.18009398e-01 
 1.50224655e-10  1.20000000e+00  1.15225098e-01 
 1.50595477e-10  1.20000000e+00  1.12515550e-01 
 1.50948545e-10  1.20000000e+00  1.10005341e-01 
 1.51285838e-10  1.20000000e+00  1.07672323e-01 
 1.51637468e-10  1.20000000e+00  1.05309336e-01 
 1.51978643e-10  1.20000000e+00  1.03085501e-01 
 1.52328404e-10  1.20000000e+00  1.00877509e-01 
 1.52666288e-10  1.20000000e+00  9.88147666e-02 
 1.53008053e-10  1.20000000e+00  9.67997675e-02 
 1.53337351e-10  1.20000000e+00  9.49273104e-02 
 1.53667791e-10  1.20000000e+00  9.31175204e-02 
 1.53987373e-10  1.20000000e+00  9.14341050e-02 
 1.54307585e-10  1.20000000e+00  8.98143933e-02 
 1.54619561e-10  1.20000000e+00  8.83023251e-02 
 1.54912717e-10  1.20000000e+00  8.69417032e-02 
 1.55235198e-10  1.20000000e+00  8.55132923e-02 
 1.55562718e-10  1.20000000e+00  8.41374997e-02 
 1.55861358e-10  1.20000000e+00  8.29503339e-02 
 1.56168332e-10  1.20000000e+00  8.17987836e-02 
 1.56469653e-10  1.20000000e+00  8.07381436e-02 
 1.56781226e-10  1.20000000e+00  7.97162209e-02 
 1.57085535e-10  1.20000000e+00  7.87938347e-02 
 1.57398487e-10  1.20000000e+00  7.79258981e-02 
 1.57708910e-10  1.20000000e+00  7.71485389e-02 
 1.58029249e-10  1.20000000e+00  7.64367598e-02 
 1.58349472e-10  1.20000000e+00  7.58203801e-02 
 1.58680590e-10  1.20000000e+00  7.52868740e-02 
 1.59015367e-10  1.20000000e+00  7.48589134e-02 
 1.59363971e-10  1.20000000e+00  7.45370309e-02 
 1.59720860e-10  1.20000000e+00  7.43434778e-02 
 1.60063517e-10  1.20000000e+00  7.42920622e-02 
 1.60467458e-10  1.20000000e+00  7.44073124e-02 
 1.60928884e-10  1.20000000e+00  7.47810070e-02 
 1.61345572e-10  1.20000000e+00  7.53485807e-02 
 1.61768632e-10  1.20000000e+00  7.61565422e-02 
 1.62168144e-10  1.20000000e+00  7.71404261e-02 
 1.62553469e-10  1.20000000e+00  7.82981239e-02 
 1.62973478e-10  1.20000000e+00  7.97990559e-02 
 1.63421776e-10  1.20000000e+00  8.16817942e-02 
 1.63862556e-10  1.20000000e+00  8.38204222e-02 
 1.64309785e-10  1.20000000e+00  8.62856183e-02 
 1.64754256e-10  1.20000000e+00  8.90329786e-02 
 1.65207775e-10  1.20000000e+00  9.21432991e-02 
 1.65651661e-10  1.20000000e+00  9.54880357e-02 
 1.66095809e-10  1.20000000e+00  9.91312015e-02 
 1.66532304e-10  1.20000000e+00  1.02998443e-01 
 1.66971066e-10  1.20000000e+00  1.07164906e-01 
 1.67366442e-10  1.20000000e+00  1.11156619e-01 
 1.67842691e-10  1.20000000e+00  1.16262156e-01 
 1.68312859e-10  1.20000000e+00  1.21615001e-01 
 1.68749636e-10  1.20000000e+00  1.26861913e-01 
 1.69219223e-10  1.20000000e+00  1.32789717e-01 
 1.69659596e-10  1.20000000e+00  1.38612063e-01 
 1.70137982e-10  1.20000000e+00  1.45217550e-01 
 1.70599913e-10  1.20000000e+00  1.51864971e-01 
 1.71092397e-10  1.20000000e+00  1.59234015e-01 
 1.71577575e-10  1.20000000e+00  1.66768607e-01 
 1.72088526e-10  1.20000000e+00  1.74993564e-01 
 1.72626508e-10  1.20000000e+00  1.83961585e-01 
 1.73140960e-10  1.20000000e+00  1.92814784e-01 
 1.73670429e-10  1.20000000e+00  2.02197099e-01 
 1.74240552e-10  1.20000000e+00  2.12592476e-01 
 1.74819570e-10  1.20000000e+00  2.23445243e-01 
 1.75430861e-10  1.20000000e+00  2.35207983e-01 
 1.76057327e-10  1.20000000e+00  2.47568830e-01 
 1.76745276e-10  1.20000000e+00  2.61476337e-01 
 1.77405566e-10  1.20000000e+00  2.75130640e-01 
 1.78087172e-10  1.20000000e+00  2.89516043e-01 
 1.78753769e-10  1.20000000e+00  3.03847342e-01 
 1.79457134e-10  1.20000000e+00  3.19225641e-01 
 1.80166161e-10  1.20000000e+00  3.34968332e-01 
 1.80937934e-10  1.20000000e+00  3.52346302e-01 
 1.81731884e-10  1.20000000e+00  3.70449717e-01 
 1.82554863e-10  1.20000000e+00  3.89413322e-01 
 1.83439983e-10  1.20000000e+00  4.09981412e-01 
 1.84180245e-10  1.20000000e+00  4.27282457e-01 
 1.84830917e-10  1.20000000e+00  4.42536934e-01 
 1.85453793e-10  1.20000000e+00  4.57160446e-01 
 1.86155394e-10  1.20000000e+00  4.73632956e-01 
 1.86795085e-10  1.20000000e+00  4.88633147e-01 
 1.87481734e-10  1.20000000e+00  5.04692108e-01 
 1.88134183e-10  1.20000000e+00  5.19890838e-01 
 1.88821983e-10  1.20000000e+00  5.35827460e-01 
 1.89495408e-10  1.20000000e+00  5.51328363e-01 
 1.90204801e-10  1.20000000e+00  5.67524114e-01 
 1.90883898e-10  1.20000000e+00  5.82875633e-01 
 1.91565031e-10  1.20000000e+00  5.98102434e-01 
 1.92301625e-10  1.20000000e+00  6.14354648e-01 
 1.93023934e-10  1.20000000e+00  6.30052050e-01 
 1.93772707e-10  1.20000000e+00  6.46048544e-01 
 1.94516452e-10  1.20000000e+00  6.61634899e-01 
 1.95290092e-10  1.20000000e+00  6.77501064e-01 
 1.96029692e-10  1.20000000e+00  6.92313673e-01 
 1.96571569e-10  1.20000000e+00  7.02929681e-01 
 1.97181579e-10  1.20000000e+00  7.14629993e-01 
 1.97870907e-10  1.20000000e+00  7.27522376e-01 
 1.98395635e-10  1.20000000e+00  7.37092315e-01 
 1.99061544e-10  1.20000000e+00  7.48924083e-01 
