 frequency       frequency       onoise_spectrum inoise_spectrum
 2.18776162e+02  2.18776162e+02  3.58841466e-08  1.48876255e-06 
 2.29086765e+02  2.29086765e+02  3.50682925e-08  1.45491437e-06 
 2.39883292e+02  2.39883292e+02  3.42710320e-08  1.42183760e-06 
 2.51188643e+02  2.51188643e+02  3.34919425e-08  1.38951471e-06 
 2.63026799e+02  2.63026799e+02  3.27306108e-08  1.35792856e-06 
 2.75422870e+02  2.75422870e+02  3.19866333e-08  1.32706240e-06 
 2.88403150e+02  2.88403150e+02  3.12596155e-08  1.29689986e-06 
 3.01995172e+02  3.01995172e+02  3.05491719e-08  1.26742496e-06 
 3.16227766e+02  3.16227766e+02  2.98549258e-08  1.23862206e-06 
 3.31131121e+02  3.31131121e+02  2.91765092e-08  1.21047589e-06 
 3.46736850e+02  3.46736850e+02  2.85135623e-08  1.18297153e-06 
 3.63078055e+02  3.63078055e+02  2.78657336e-08  1.15609439e-06 
 3.80189396e+02  3.80189396e+02  2.72326796e-08  1.12983023e-06 
 3.98107171e+02  3.98107171e+02  2.66140647e-08  1.10416512e-06 
 4.16869383e+02  4.16869383e+02  2.60095609e-08  1.07908544e-06 
 4.36515832e+02  4.36515832e+02  2.54188476e-08  1.05457791e-06 
 4.57088190e+02  4.57088190e+02  2.48416116e-08  1.03062953e-06 
 4.78630092e+02  4.78630092e+02  2.42775470e-08  1.00722760e-06 
 5.01187234e+02  5.01187234e+02  2.37263545e-08  9.84359706e-07 
 5.24807460e+02  5.24807460e+02  2.31877419e-08  9.62013732e-07 
 5.49540874e+02  5.49540874e+02  2.26614237e-08  9.40177826e-07 
 5.75439937e+02  5.75439937e+02  2.21471208e-08  9.18840412e-07 
 6.02559586e+02  6.02559586e+02  2.16445605e-08  8.97990173e-07 
 6.30957344e+02  6.30957344e+02  2.11534762e-08  8.77616056e-07 
 6.60693448e+02  6.60693448e+02  2.06736077e-08  8.57707258e-07 
 6.91830971e+02  6.91830971e+02  2.02047005e-08  8.38253221e-07 
 7.24435960e+02  7.24435960e+02  1.97465060e-08  8.19243632e-07 
 7.58577575e+02  7.58577575e+02  1.92987811e-08  8.00668410e-07 
 7.94328235e+02  7.94328235e+02  1.88612886e-08  7.82517705e-07 
 8.31763771e+02  8.31763771e+02  1.84337963e-08  7.64781895e-07 
 8.70963590e+02  8.70963590e+02  1.80160778e-08  7.47451574e-07 
 9.12010839e+02  9.12010839e+02  1.76079113e-08  7.30517553e-07 
 9.54992586e+02  9.54992586e+02  1.72090806e-08  7.13970853e-07 
 1.00000000e+03  1.00000000e+03  1.68193742e-08  6.97802700e-07 
 1.04712855e+03  1.04712855e+03  1.64385853e-08  6.82004520e-07 
 1.09647820e+03  1.09647820e+03  1.60665122e-08  6.66567938e-07 
 1.14815362e+03  1.14815362e+03  1.57029574e-08  6.51484766e-07 
 1.20226443e+03  1.20226443e+03  1.53477282e-08  6.36747007e-07 
 1.25892541e+03  1.25892541e+03  1.50006362e-08  6.22346846e-07 
 1.31825674e+03  1.31825674e+03  1.46614975e-08  6.08276647e-07 
 1.38038426e+03  1.38038426e+03  1.43301320e-08  5.94528948e-07 
 1.44543977e+03  1.44543977e+03  1.40063642e-08  5.81096459e-07 
