 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 1.02002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.14837445e-09  4.98814046e-09 
 1.03002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.10368992e-09  5.24855104e-09 
 1.04002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.13986104e-09  5.03700698e-09 
 1.05002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.11058124e-09  5.20755089e-09 
 1.06002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.13428283e-09  5.06883968e-09 
 1.07002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.11509685e-09  5.18050630e-09 
 1.08002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.13062709e-09  5.08953080e-09 
 1.09002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.11805559e-09  5.16262594e-09 
 1.10000000e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.12822951e-09  5.10287579e-09 
 1.10100000e-09  1.20000000e+00  1.20000000e-02  1.20030428e+00  1.59769479e-03  2.58101511e-04 
 1.10300000e-09  1.20000000e+00  3.60000000e-02  1.20047662e+00  2.47919180e-03  3.24842226e-04 
 1.10700000e-09  1.20000000e+00  8.40000000e-02  1.20014255e+00  7.10322104e-04 -1.47150318e-04 
 1.11500000e-09  1.20000000e+00  1.80000000e-01  1.19997719e+00  6.15352112e-05 -1.29586764e-04 
 1.12500000e-09  1.20000000e+00  3.00000000e-01  1.19996534e+00  1.17232912e-04  4.33278074e-05 
 1.13500000e-09  1.20000000e+00  4.20000000e-01  1.19998931e+00  1.43743570e-04  1.49879857e-05 
 1.14500000e-09  1.20000000e+00  5.40000000e-01  1.19988358e+00  1.16434716e-04  2.41679729e-05 
 1.15500000e-09  1.20000000e+00  6.60000000e-01  1.19959047e+00  6.78441302e-05  2.59325953e-05 
 1.16500000e-09  1.20000000e+00  7.80000000e-01  1.19911243e+00  1.18227455e-04 -8.60726865e-05 
 1.17500000e-09  1.20000000e+00  9.00000000e-01  1.19855321e+00  5.77748709e-04 -8.62964287e-04 
 1.18500000e-09  1.20000000e+00  1.02000000e+00  1.19807449e+00  1.43666334e-04 -3.29917871e-04 
 1.19500000e-09  1.20000000e+00  1.14000000e+00  1.19761353e+00 -2.74013532e-04  2.82727696e-04 
 1.20000000e-09  1.20000000e+00  1.20000000e+00  1.19757735e+00 -2.17679657e-05 -4.68025805e-05 
 1.20100000e-09  1.20000000e+00  1.20000000e+00  1.19742751e+00 -1.78950525e-03 -3.49756867e-04 
 1.20300000e-09  1.20000000e+00  1.20000000e+00  1.19786676e+00 -3.16583321e-03 -5.85909810e-04 
 1.20700000e-09  1.20000000e+00  1.20000000e+00  1.20109175e+00 -1.66504080e-03 -1.92604329e-04 
 1.21500000e-09  1.20000000e+00  1.20000000e+00  1.21139280e+00 -2.47579821e-04  1.48625819e-03 
 1.22500000e-09  1.20000000e+00  1.20000000e+00  1.23155359e+00 -9.46954933e-05  5.43384173e-03 
