 frequency       frequency       onoise_spectrum inoise_spectrum
 4.78630092e+02  4.78630092e+02  2.47637647e-08  7.42219421e-07 
 5.01187234e+02  5.01187234e+02  2.42011463e-08  7.25356626e-07 
 5.24807460e+02  5.24807460e+02  2.36513596e-08  7.08878424e-07 
 5.49540874e+02  5.49540874e+02  2.31141132e-08  6.92776076e-07 
 5.75439937e+02  5.75439937e+02  2.25891221e-08  6.77041046e-07 
 6.02559586e+02  6.02559586e+02  2.20761080e-08  6.61664990e-07 
 6.30957344e+02  6.30957344e+02  2.15747989e-08  6.46639756e-07 
 6.60693448e+02  6.60693448e+02  2.10849289e-08  6.31957377e-07 
 6.91830971e+02  6.91830971e+02  2.06062384e-08  6.17610067e-07 
 7.24435960e+02  7.24435960e+02  2.01384735e-08  6.03590220e-07 
 7.58577575e+02  7.58577575e+02  1.96813862e-08  5.89890402e-07 
 7.94328235e+02  7.94328235e+02  1.92347342e-08  5.76503349e-07 
 8.31763771e+02  8.31763771e+02  1.87982805e-08  5.63421963e-07 
 8.70963590e+02  8.70963590e+02  1.83717939e-08  5.50639307e-07 
 9.12010839e+02  9.12010839e+02  1.79550481e-08  5.38148604e-07 
 9.54992586e+02  9.54992586e+02  1.75478221e-08  5.25943231e-07 
 1.00000000e+03  1.00000000e+03  1.71499002e-08  5.14016716e-07 
 1.04712855e+03  1.04712855e+03  1.67610712e-08  5.02362735e-07 
 1.09647820e+03  1.09647820e+03  1.63811290e-08  4.90975109e-07 
 1.14815362e+03  1.14815362e+03  1.60098721e-08  4.79847800e-07 
 1.20226443e+03  1.20226443e+03  1.56471037e-08  4.68974908e-07 
 1.25892541e+03  1.25892541e+03  1.52926314e-08  4.58350666e-07 
 1.31825674e+03  1.31825674e+03  1.49462673e-08  4.47969442e-07 
 1.38038426e+03  1.38038426e+03  1.46078276e-08  4.37825731e-07 
 1.44543977e+03  1.44543977e+03  1.42771330e-08  4.27914155e-07 
 1.51356125e+03  1.51356125e+03  1.39540081e-08  4.18229457e-07 
 1.58489319e+03  1.58489319e+03  1.36382816e-08  4.08766501e-07 
 1.65958691e+03  1.65958691e+03  1.33297859e-08  3.99520271e-07 
 1.73780083e+03  1.73780083e+03  1.30283576e-08  3.90485863e-07 
 1.81970086e+03  1.81970086e+03  1.27338367e-08  3.81658486e-07 
 1.90546072e+03  1.90546072e+03  1.24460672e-08  3.73033459e-07 
 1.99526231e+03  1.99526231e+03  1.21648964e-08  3.64606209e-07 
 2.08929613e+03  2.08929613e+03  1.18901751e-08  3.56372266e-07 
 2.18776162e+03  2.18776162e+03  1.16217578e-08  3.48327263e-07 
 2.29086765e+03  2.29086765e+03  1.13595021e-08  3.40466935e-07 
 2.39883292e+03  2.39883292e+03  1.11032688e-08  3.32787112e-07 
 2.51188643e+03  2.51188643e+03  1.08529221e-08  3.25283722e-07 
 2.63026799e+03  2.63026799e+03  1.06083292e-08  3.17952785e-07 
 2.75422870e+03  2.75422870e+03  1.03693603e-08  3.10790413e-07 
 2.88403150e+03  2.88403150e+03  1.01358889e-08  3.03792807e-07 
 3.01995172e+03  3.01995172e+03  9.90779090e-09  2.96956256e-07 
 3.16227766e+03  3.16227766e+03  9.68494545e-09  2.90277133e-07 
 3.31131121e+03  3.31131121e+03  9.46723430e-09  2.83751896e-07 
 3.46736850e+03  3.46736850e+03  9.25454197e-09  2.77377082e-07 
 3.63078055e+03  3.63078055e+03  9.04675563e-09  2.71149311e-07 
 3.80189396e+03  3.80189396e+03  8.84376504e-09  2.65065278e-07 
 3.98107171e+03  3.98107171e+03  8.64546252e-09  2.59121756e-07 
 4.16869383e+03  4.16869383e+03  8.45174283e-09  2.53315591e-07 
 4.36515832e+03  4.36515832e+03  8.26250320e-09  2.47643702e-07 
 4.57088190e+03  4.57088190e+03  8.07764321e-09  2.42103079e-07 
 4.78630092e+03  4.78630092e+03  7.89706475e-09  2.36690782e-07 
 5.01187234e+03  5.01187234e+03  7.72067198e-09  2.31403939e-07 
 5.24807460e+03  5.24807460e+03  7.54837127e-09  2.26239743e-07 
