 time            v(in)           v(out)         
 1.73103629e-09  0.00000000e+00  1.08766422e+00 
 1.73180051e-09  0.00000000e+00  1.09278378e+00 
 1.73255749e-09  0.00000000e+00  1.09763276e+00 
 1.73331314e-09  0.00000000e+00  1.10226179e+00 
 1.73407422e-09  0.00000000e+00  1.10671923e+00 
 1.73484374e-09  0.00000000e+00  1.11102578e+00 
 1.73562075e-09  0.00000000e+00  1.11517828e+00 
 1.73640599e-09  0.00000000e+00  1.11918328e+00 
 1.73719894e-09  0.00000000e+00  1.12304063e+00 
 1.73800052e-09  0.00000000e+00  1.12675728e+00 
 1.73881046e-09  0.00000000e+00  1.13033444e+00 
 1.73962958e-09  0.00000000e+00  1.13377811e+00 
 1.74045779e-09  0.00000000e+00  1.13709013e+00 
 1.74119911e-09  0.00000000e+00  1.13991623e+00 
 1.74201021e-09  0.00000000e+00  1.14286540e+00 
 1.74277796e-09  0.00000000e+00  1.14552516e+00 
 1.74351833e-09  0.00000000e+00  1.14797414e+00 
 1.74427125e-09  0.00000000e+00  1.15035297e+00 
 1.74504233e-09  0.00000000e+00  1.15267740e+00 
 1.74582270e-09  0.00000000e+00  1.15491981e+00 
 1.74662142e-09  0.00000000e+00  1.15710549e+00 
 1.74744010e-09  0.00000000e+00  1.15923620e+00 
 1.74827717e-09  0.00000000e+00  1.16130554e+00 
 1.74913466e-09  0.00000000e+00  1.16331644e+00 
 1.75001330e-09  0.00000000e+00  1.16526832e+00 
 1.75091323e-09  0.00000000e+00  1.16715943e+00 
 1.75183516e-09  0.00000000e+00  1.16898937e+00 
 1.75287399e-09  0.00000000e+00  1.17092933e+00 
 1.75381858e-09  0.00000000e+00  1.17258712e+00 
 1.75493584e-09  0.00000000e+00  1.17442491e+00 
 1.75599228e-09  0.00000000e+00  1.17604732e+00 
 1.75708834e-09  0.00000000e+00  1.17761983e+00 
 1.75817676e-09  0.00000000e+00  1.17907695e+00 
 1.75930308e-09  0.00000000e+00  1.18048256e+00 
 1.76044111e-09  0.00000000e+00  1.18180422e+00 
 1.76161486e-09  0.00000000e+00  1.18307078e+00 
 1.76280587e-09  0.00000000e+00  1.18426274e+00 
 1.76403191e-09  0.00000000e+00  1.18539880e+00 
 1.76528011e-09  0.00000000e+00  1.18646759e+00 
 1.76656459e-09  0.00000000e+00  1.18748198e+00 
 1.76787611e-09  0.00000000e+00  1.18843522e+00 
 1.76922618e-09  0.00000000e+00  1.18933637e+00 
 1.77060822e-09  0.00000000e+00  1.19018156e+00 
 1.77203199e-09  0.00000000e+00  1.19097737e+00 
 1.77349303e-09  0.00000000e+00  1.19172184e+00 
 1.77499993e-09  0.00000000e+00  1.19241988e+00 
 1.77655002e-09  0.00000000e+00  1.19307077e+00 
 1.77815117e-09  0.00000000e+00  1.19367832e+00 
 1.77980231e-09  0.00000000e+00  1.19424261e+00 
 1.78151098e-09  0.00000000e+00  1.19476672e+00 
 1.78327761e-09  0.00000000e+00  1.19525123e+00 
 1.78510984e-09  0.00000000e+00  1.19569873e+00 
 1.78700961e-09  0.00000000e+00  1.19611014e+00 
 1.78898503e-09  0.00000000e+00  1.19648768e+00 
 1.79103974e-09  0.00000000e+00  1.19683251e+00 
 1.79318276e-09  0.00000000e+00  1.19714661e+00 
 1.79541975e-09  0.00000000e+00  1.19743125e+00 
 1.79776126e-09  0.00000000e+00  1.19768825e+00 
 1.80021546e-09  0.00000000e+00  1.19791898e+00 
 1.80279527e-09  0.00000000e+00  1.19812511e+00 
 1.80551224e-09  0.00000000e+00  1.19830806e+00 
 1.80838287e-09  0.00000000e+00  1.19846943e+00 
 1.81142351e-09  0.00000000e+00  1.19861062e+00 
 1.81465610e-09  0.00000000e+00  1.19873318e+00 
 1.81810416e-09  0.00000000e+00  1.19883850e+00 
 1.82179825e-09  0.00000000e+00  1.19892808e+00 
 1.82577310e-09  0.00000000e+00  1.19900328e+00 
 1.83007348e-09  0.00000000e+00  1.19906554e+00 
 1.83475287e-09  0.00000000e+00  1.19911620e+00 
 1.83988080e-09  0.00000000e+00  1.19915662e+00 
 1.84554449e-09  0.00000000e+00  1.19918810e+00 
 1.85186016e-09  0.00000000e+00  1.19921190e+00 
 1.85898162e-09  0.00000000e+00  1.19922927e+00 
 1.86712293e-09  0.00000000e+00  1.19924137e+00 
 1.87658694e-09  0.00000000e+00  1.19924930e+00 
 1.88658694e-09  0.00000000e+00  1.19925370e+00 
 1.89658694e-09  0.00000000e+00  1.19925594e+00 
 1.90658694e-09  0.00000000e+00  1.19925709e+00 
 1.91658694e-09  0.00000000e+00  1.19925768e+00 
 1.92658694e-09  0.00000000e+00  1.19925798e+00 
 1.93658694e-09  0.00000000e+00  1.19925814e+00 
 1.94658694e-09  0.00000000e+00  1.19925821e+00 
 1.95658694e-09  0.00000000e+00  1.19925825e+00 
 1.96658694e-09  0.00000000e+00  1.19925828e+00 
 1.97658694e-09  0.00000000e+00  1.19925829e+00 
 1.98658694e-09  0.00000000e+00  1.19925829e+00 
 1.99658694e-09  0.00000000e+00  1.19925829e+00 
 2.00658694e-09  0.00000000e+00  1.19925830e+00 
 2.01658694e-09  0.00000000e+00  1.19925830e+00 
 2.02658694e-09  0.00000000e+00  1.19925830e+00 
 2.03658694e-09  0.00000000e+00  1.19925830e+00 
 2.04658694e-09  0.00000000e+00  1.19925830e+00 
 2.05658694e-09  0.00000000e+00  1.19925830e+00 
 2.06658694e-09  0.00000000e+00  1.19925830e+00 
 2.07658694e-09  0.00000000e+00  1.19925830e+00 
 2.08658694e-09  0.00000000e+00  1.19925830e+00 
 2.09658694e-09  0.00000000e+00  1.19925830e+00 
 2.10658694e-09  0.00000000e+00  1.19925830e+00 
 2.11658694e-09  0.00000000e+00  1.19925830e+00 
 2.12658694e-09  0.00000000e+00  1.19925830e+00 
 2.13658694e-09  0.00000000e+00  1.19925830e+00 
 2.14658694e-09  0.00000000e+00  1.19925830e+00 
 2.15658694e-09  0.00000000e+00  1.19925830e+00 
 2.16658694e-09  0.00000000e+00  1.19925830e+00 
