 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 2.10302938e-09  1.20000000e+00  1.20000000e+00  3.80541015e-05  3.41987914e-05  1.19926092e+00 
 2.11302938e-09  1.20000000e+00  1.20000000e+00  3.80165216e-05  3.41987851e-05  1.19926090e+00 
 2.12302938e-09  1.20000000e+00  1.20000000e+00  3.79802797e-05  3.41987907e-05  1.19926092e+00 
 2.13302938e-09  1.20000000e+00  1.20000000e+00  3.79460199e-05  3.41987858e-05  1.19926090e+00 
 2.14302938e-09  1.20000000e+00  1.20000000e+00  3.79129734e-05  3.41987901e-05  1.19926092e+00 
 2.15302938e-09  1.20000000e+00  1.20000000e+00  3.78816691e-05  3.41987863e-05  1.19926090e+00 
 2.16302938e-09  1.20000000e+00  1.20000000e+00  3.78514675e-05  3.41987896e-05  1.19926092e+00 
 2.17302938e-09  1.20000000e+00  1.20000000e+00  3.78228031e-05  3.41987867e-05  1.19926090e+00 
 2.18302938e-09  1.20000000e+00  1.20000000e+00  3.77951430e-05  3.41987892e-05  1.19926091e+00 
 2.19302938e-09  1.20000000e+00  1.20000000e+00  3.77688439e-05  3.41987871e-05  1.19926091e+00 
 2.20000000e-09  1.20000000e+00  1.20000000e+00  3.77509667e-05  3.41987889e-05  1.19926091e+00 
 2.20100000e-09  1.18800000e+00  1.20000000e+00 -2.41603268e-06  3.06476881e-05  1.19926066e+00 
 2.20300000e-09  1.16400000e+00  1.20000000e+00 -1.40798980e-04  1.62520587e-05  1.19925942e+00 
 2.20700000e-09  1.11600000e+00  1.20000000e+00 -4.56333069e-04 -2.81566401e-05  1.19925413e+00 
 2.21500000e-09  1.02000000e+00  1.20000000e+00 -7.06127651e-04 -6.49910522e-05  1.19924802e+00 
 2.22348894e-09  9.18132709e-01  1.20000000e+00 -6.70366305e-04 -4.94281539e-05  1.19925272e+00 
 2.23348894e-09  7.98132709e-01  1.20000000e+00 -5.62919896e-04 -2.49920116e-05  1.19926114e+00 
