 frequency       frequency       onoise_spectrum inoise_spectrum
 1.14815362e+03  1.14815362e+03  5.02623807e-09  4.36074017e-08 
 1.20226443e+03  1.20226443e+03  4.92790039e-09  4.27542286e-08 
 1.25892541e+03  1.25892541e+03  4.83212081e-09  4.19232496e-08 
 1.31825674e+03  1.31825674e+03  4.73884524e-09  4.11139952e-08 
 1.38038426e+03  1.38038426e+03  4.64802073e-09  4.03260061e-08 
 1.44543977e+03  1.44543977e+03  4.55959544e-09  3.95588326e-08 
 1.51356125e+03  1.51356125e+03  4.47351863e-09  3.88120342e-08 
 1.58489319e+03  1.58489319e+03  4.38974059e-09  3.80851799e-08 
 1.65958691e+03  1.65958691e+03  4.30821262e-09  3.73778471e-08 
 1.73780083e+03  1.73780083e+03  4.22888703e-09  3.66896221e-08 
 1.81970086e+03  1.81970086e+03  4.15171705e-09  3.60200991e-08 
 1.90546072e+03  1.90546072e+03  4.07665686e-09  3.53688804e-08 
 1.99526231e+03  1.99526231e+03  4.00366151e-09  3.47355763e-08 
 2.08929613e+03  2.08929613e+03  3.93268691e-09  3.41198040e-08 
 2.18776162e+03  2.18776162e+03  3.86368981e-09  3.35211884e-08 
 2.29086765e+03  2.29086765e+03  3.79662774e-09  3.29393612e-08 
 2.39883292e+03  2.39883292e+03  3.73145904e-09  3.23739606e-08 
 2.51188643e+03  2.51188643e+03  3.66814277e-09  3.18246317e-08 
 2.63026799e+03  2.63026799e+03  3.60663872e-09  3.12910255e-08 
 2.75422870e+03  2.75422870e+03  3.54690738e-09  3.07727992e-08 
 2.88403150e+03  2.88403150e+03  3.48890990e-09  3.02696158e-08 
 3.01995172e+03  3.01995172e+03  3.43260809e-09  2.97811440e-08 
 3.16227766e+03  3.16227766e+03  3.37796439e-09  2.93070579e-08 
 3.31131121e+03  3.31131121e+03  3.32494185e-09  2.88470369e-08 
 3.46736850e+03  3.46736850e+03  3.27350410e-09  2.84007654e-08 
 3.63078055e+03  3.63078055e+03  3.22361532e-09  2.79679328e-08 
 3.80189396e+03  3.80189396e+03  3.17524028e-09  2.75482332e-08 
 3.98107171e+03  3.98107171e+03  3.12834425e-09  2.71413655e-08 
 4.16869383e+03  4.16869383e+03  3.08289303e-09  2.67470328e-08 
 4.36515832e+03  4.36515832e+03  3.03885292e-09  2.63649430e-08 
 4.57088190e+03  4.57088190e+03  2.99619072e-09  2.59948077e-08 
 4.78630092e+03  4.78630092e+03  2.95487369e-09  2.56363432e-08 
 5.01187234e+03  5.01187234e+03  2.91486959e-09  2.52892695e-08 
 5.24807460e+03  5.24807460e+03  2.87614660e-09  2.49533107e-08 
 5.49540874e+03  5.49540874e+03  2.83867337e-09  2.46281947e-08 
 5.75439937e+03  5.75439937e+03  2.80241899e-09  2.43136534e-08 
 6.02559586e+03  6.02559586e+03  2.76735299e-09  2.40094225e-08 
 6.30957344e+03  6.30957344e+03  2.73344532e-09  2.37152411e-08 
 6.60693448e+03  6.60693448e+03  2.70066636e-09  2.34308525e-08 
 6.91830971e+03  6.91830971e+03  2.66898692e-09  2.31560032e-08 
 7.24435960e+03  7.24435960e+03  2.63837824e-09  2.28904437e-08 
 7.58577575e+03  7.58577575e+03  2.60881194e-09  2.26339280e-08 
 7.94328235e+03  7.94328235e+03  2.58026011e-09  2.23862136e-08 
 8.31763771e+03  8.31763771e+03  2.55269523e-09  2.21470620e-08 
 8.70963590e+03  8.70963590e+03  2.52609019e-09  2.19162380e-08 
 9.12010839e+03  9.12010839e+03  2.50041834e-09  2.16935102e-08 
 9.54992586e+03  9.54992586e+03  2.47565341e-09  2.14786509e-08 
 1.00000000e+04  1.00000000e+04  2.45176959e-09  2.12714360e-08 
 1.04712855e+04  1.04712855e+04  2.42874147e-09  2.10716452e-08 
 1.09647820e+04  1.09647820e+04  2.40654410e-09  2.08790618e-08 
 1.14815362e+04  1.14815362e+04  2.38515294e-09  2.06934731e-08 
 1.20226443e+04  1.20226443e+04  2.36454390e-09  2.05146701e-08 
 1.25892541e+04  1.25892541e+04  2.34469333e-09  2.03424474e-08 
 1.31825674e+04  1.31825674e+04  2.32557801e-09  2.01766038e-08 
 1.38038426e+04  1.38038426e+04  2.30717518e-09  2.00169418e-08 
 1.44543977e+04  1.44543977e+04  2.28946254e-09  1.98632677e-08 
 1.51356125e+04  1.51356125e+04  2.27241821e-09  1.97153920e-08 
 1.58489319e+04  1.58489319e+04  2.25602081e-09  1.95731289e-08 
 1.65958691e+04  1.65958691e+04  2.24024937e-09  1.94362967e-08 
 1.73780083e+04  1.73780083e+04  2.22508341e-09  1.93047175e-08 
 1.81970086e+04  1.81970086e+04  2.21050290e-09  1.91782177e-08 
 1.90546072e+04  1.90546072e+04  2.19648828e-09  1.90566275e-08 
 1.99526231e+04  1.99526231e+04  2.18302043e-09  1.89397811e-08 
 2.08929613e+04  2.08929613e+04  2.17008071e-09  1.88275167e-08 
 2.18776162e+04  2.18776162e+04  2.15765093e-09  1.87196765e-08 
 2.29086765e+04  2.29086765e+04  2.14571337e-09  1.86161068e-08 
 2.39883292e+04  2.39883292e+04  2.13425076e-09  1.85166578e-08 
 2.51188643e+04  2.51188643e+04  2.12324628e-09  1.84211835e-08 
 2.63026799e+04  2.63026799e+04  2.11268358e-09  1.83295420e-08 
 2.75422870e+04  2.75422870e+04  2.10254675e-09  1.82415953e-08 
 2.88403150e+04  2.88403150e+04  2.09282031e-09  1.81572092e-08 
 3.01995172e+04  3.01995172e+04  2.08348925e-09  1.80762534e-08 
 3.16227766e+04  3.16227766e+04  2.07453898e-09  1.79986012e-08 
 3.31131121e+04  3.31131121e+04  2.06595534e-09  1.79241300e-08 
 3.46736850e+04  3.46736850e+04  2.05772460e-09  1.78527205e-08 
 3.63078055e+04  3.63078055e+04  2.04983346e-09  1.77842573e-08 
 3.80189396e+04  3.80189396e+04  2.04226901e-09  1.77186285e-08 
 3.98107171e+04  3.98107171e+04  2.03501878e-09  1.76557258e-08 
 4.16869383e+04  4.16869383e+04  2.02807066e-09  1.75954443e-08 
 4.36515832e+04  4.36515832e+04  2.02141296e-09  1.75376824e-08 
 4.57088190e+04  4.57088190e+04  2.01503437e-09  1.74823421e-08 
 4.78630092e+04  4.78630092e+04  2.00892396e-09  1.74293285e-08 
 5.01187234e+04  5.01187234e+04  2.00307117e-09  1.73785499e-08 
 5.24807460e+04  5.24807460e+04  1.99746579e-09  1.73299179e-08 
 5.49540874e+04  5.49540874e+04  1.99209796e-09  1.72833469e-08 
 5.75439937e+04  5.75439937e+04  1.98695819e-09  1.72387545e-08 
 6.02559586e+04  6.02559586e+04  1.98203731e-09  1.71960611e-08 
 6.30957344e+04  6.30957344e+04  1.97732647e-09  1.71551901e-08 
 6.60693448e+04  6.60693448e+04  1.97281715e-09  1.71160675e-08 
 6.91830971e+04  6.91830971e+04  1.96850115e-09  1.70786220e-08 
 7.24435960e+04  7.24435960e+04  1.96437054e-09  1.70427851e-08 
 7.58577575e+04  7.58577575e+04  1.96041772e-09  1.70084906e-08 
 7.94328235e+04  7.94328235e+04  1.95663534e-09  1.69756749e-08 
 8.31763771e+04  8.31763771e+04  1.95301637e-09  1.69442768e-08 
 8.70963590e+04  8.70963590e+04  1.94955400e-09  1.69142375e-08 
 9.12010839e+04  9.12010839e+04  1.94624172e-09  1.68855003e-08 
 9.54992586e+04  9.54992586e+04  1.94307324e-09  1.68580107e-08 
 1.00000000e+05  1.00000000e+05  1.94004254e-09  1.68317165e-08 
 1.04712855e+05  1.04712855e+05  1.93714381e-09  1.68065673e-08 
 1.09647820e+05  1.09647820e+05  1.93437150e-09  1.67825148e-08 
 1.14815362e+05  1.14815362e+05  1.93172024e-09  1.67595127e-08 
 1.20226443e+05  1.20226443e+05  1.92918491e-09  1.67375163e-08 
 1.25892541e+05  1.25892541e+05  1.92676058e-09  1.67164828e-08 
 1.31825674e+05  1.31825674e+05  1.92444250e-09  1.66963713e-08 
 1.38038426e+05  1.38038426e+05  1.92222615e-09  1.66771424e-08 
 1.44543977e+05  1.44543977e+05  1.92010716e-09  1.66587581e-08 
 1.51356125e+05  1.51356125e+05  1.91808136e-09  1.66411823e-08 
 1.58489319e+05  1.58489319e+05  1.91614473e-09  1.66243803e-08 
 1.65958691e+05  1.65958691e+05  1.91429344e-09  1.66083185e-08 
 1.73780083e+05  1.73780083e+05  1.91252379e-09  1.65929652e-08 
 1.81970086e+05  1.81970086e+05  1.91083227e-09  1.65782896e-08 
 1.90546072e+05  1.90546072e+05  1.90921547e-09  1.65642623e-08 
 1.99526231e+05  1.99526231e+05  1.90767017e-09  1.65508553e-08 
 2.08929613e+05  2.08929613e+05  1.90619324e-09  1.65380416e-08 
 2.18776162e+05  2.18776162e+05  1.90478172e-09  1.65257953e-08 
 2.29086765e+05  2.29086765e+05  1.90343275e-09  1.65140917e-08 
 2.39883292e+05  2.39883292e+05  1.90214360e-09  1.65029071e-08 
 2.51188643e+05  2.51188643e+05  1.90091166e-09  1.64922188e-08 
