 frequency       frequency       onoise_spectrum inoise_spectrum
 2.63026799e+02  2.63026799e+02  9.52598143e-09  6.79517750e-08 
 2.75422870e+02  2.75422870e+02  9.31546941e-09  6.64501276e-08 
 2.88403150e+02  2.88403150e+02  9.10989209e-09  6.49836809e-08 
 3.01995172e+02  3.01995172e+02  8.90914015e-09  6.35516551e-08 
 3.16227766e+02  3.16227766e+02  8.71310681e-09  6.21532886e-08 
 3.31131121e+02  3.31131121e+02  8.52168778e-09  6.07878374e-08 
 3.46736850e+02  3.46736850e+02  8.33478119e-09  5.94545749e-08 
 3.63078055e+02  3.63078055e+02  8.15228753e-09  5.81527911e-08 
 3.80189396e+02  3.80189396e+02  7.97410962e-09  5.68817929e-08 
 3.98107171e+02  3.98107171e+02  7.80015251e-09  5.56409030e-08 
 4.16869383e+02  4.16869383e+02  7.63032350e-09  5.44294600e-08 
 4.36515832e+02  4.36515832e+02  7.46453200e-09  5.32468179e-08 
 4.57088190e+02  4.57088190e+02  7.30268955e-09  5.20923456e-08 
 4.78630092e+02  4.78630092e+02  7.14470976e-09  5.09654269e-08 
 5.01187234e+02  5.01187234e+02  6.99050822e-09  4.98654595e-08 
 5.24807460e+02  5.24807460e+02  6.84000250e-09  4.87918556e-08 
 5.49540874e+02  5.49540874e+02  6.69311208e-09  4.77440408e-08 
 5.75439937e+02  5.75439937e+02  6.54975832e-09  4.67214540e-08 
 6.02559586e+02  6.02559586e+02  6.40986439e-09  4.57235473e-08 
 6.30957344e+02  6.30957344e+02  6.27335526e-09  4.47497854e-08 
 6.60693448e+02  6.60693448e+02  6.14015762e-09  4.37996454e-08 
 6.91830971e+02  6.91830971e+02  6.01019988e-09  4.28726166e-08 
 7.24435960e+02  7.24435960e+02  5.88341208e-09  4.19682000e-08 
 7.58577575e+02  7.58577575e+02  5.75972590e-09  4.10859082e-08 
 7.94328235e+02  7.94328235e+02  5.63907458e-09  4.02252650e-08 
 8.31763771e+02  8.31763771e+02  5.52139291e-09  3.93858052e-08 
 8.70963590e+02  8.70963590e+02  5.40661716e-09  3.85670742e-08 
 9.12010839e+02  9.12010839e+02  5.29468507e-09  3.77686280e-08 
 9.54992586e+02  9.54992586e+02  5.18553582e-09  3.69900325e-08 
 1.00000000e+03  1.00000000e+03  5.07910993e-09  3.62308638e-08 
 1.04712855e+03  1.04712855e+03  4.97534933e-09  3.54907072e-08 
 1.09647820e+03  1.09647820e+03  4.87419721e-09  3.47691579e-08 
 1.14815362e+03  1.14815362e+03  4.77559807e-09  3.40658197e-08 
 1.20226443e+03  1.20226443e+03  4.67949765e-09  3.33803056e-08 
 1.25892541e+03  1.25892541e+03  4.58584289e-09  3.27122372e-08 
 1.31825674e+03  1.31825674e+03  4.49458193e-09  3.20612445e-08 
 1.38038426e+03  1.38038426e+03  4.40566403e-09  3.14269656e-08 
 1.44543977e+03  1.44543977e+03  4.31903957e-09  3.08090465e-08 
 1.51356125e+03  1.51356125e+03  4.23466001e-09  3.02071410e-08 
 1.58489319e+03  1.58489319e+03  4.15247787e-09  2.96209104e-08 
 1.65958691e+03  1.65958691e+03  4.07244668e-09  2.90500231e-08 
 1.73780083e+03  1.73780083e+03  3.99452094e-09  2.84941547e-08 
 1.81970086e+03  1.81970086e+03  3.91865614e-09  2.79529875e-08 
 1.90546072e+03  1.90546072e+03  3.84480867e-09  2.74262107e-08 
 1.99526231e+03  1.99526231e+03  3.77293583e-09  2.69135194e-08 
 2.08929613e+03  2.08929613e+03  3.70299578e-09  2.64146154e-08 
 2.18776162e+03  2.18776162e+03  3.63494755e-09  2.59292063e-08 
 2.29086765e+03  2.29086765e+03  3.56875094e-09  2.54570054e-08 
 2.39883292e+03  2.39883292e+03  3.50436659e-09  2.49977319e-08 
 2.51188643e+03  2.51188643e+03  3.44175586e-09  2.45511102e-08 
 2.63026799e+03  2.63026799e+03  3.38088086e-09  2.41168699e-08 
 2.75422870e+03  2.75422870e+03  3.32170441e-09  2.36947460e-08 
 2.88403150e+03  2.88403150e+03  3.26419003e-09  2.32844781e-08 
 3.01995172e+03  3.01995172e+03  3.20830188e-09  2.28858107e-08 
 3.16227766e+03  3.16227766e+03  3.15400478e-09  2.24984927e-08 
 3.31131121e+03  3.31131121e+03  3.10126416e-09  2.21222775e-08 
 3.46736850e+03  3.46736850e+03  3.05004605e-09  2.17569228e-08 
 3.63078055e+03  3.63078055e+03  3.00031704e-09  2.14021904e-08 
 3.80189396e+03  3.80189396e+03  2.95204430e-09  2.10578460e-08 
 3.98107171e+03  3.98107171e+03  2.90519553e-09  2.07236592e-08 
 4.16869383e+03  4.16869383e+03  2.85973894e-09  2.03994033e-08 
 4.36515832e+03  4.36515832e+03  2.81564326e-09  2.00848551e-08 
 4.57088190e+03  4.57088190e+03  2.77287768e-09  1.97797950e-08 
 4.78630092e+03  4.78630092e+03  2.73141189e-09  1.94840067e-08 
 5.01187234e+03  5.01187234e+03  2.69121602e-09  1.91972771e-08 
 5.24807460e+03  5.24807460e+03  2.65226065e-09  1.89193964e-08 
 5.49540874e+03  5.49540874e+03  2.61451680e-09  1.86501578e-08 
 5.75439937e+03  5.75439937e+03  2.57795589e-09  1.83893575e-08 
 6.02559586e+03  6.02559586e+03  2.54254976e-09  1.81367947e-08 
 6.30957344e+03  6.30957344e+03  2.50827067e-09  1.78922713e-08 
 6.60693448e+03  6.60693448e+03  2.47509125e-09  1.76555923e-08 
 6.91830971e+03  6.91830971e+03  2.44298453e-09  1.74265650e-08 
 7.24435960e+03  7.24435960e+03  2.41192390e-09  1.72050000e-08 
 7.58577575e+03  7.58577575e+03  2.38188316e-09  1.69907101e-08 
 7.94328235e+03  7.94328235e+03  2.35283645e-09  1.67835109e-08 
 8.31763771e+03  8.31763771e+03  2.32475829e-09  1.65832207e-08 
 8.70963590e+03  8.70963590e+03  2.29762357e-09  1.63896603e-08 
 9.12010839e+03  9.12010839e+03  2.27140753e-09  1.62026532e-08 
 9.54992586e+03  9.54992586e+03  2.24608578e-09  1.60220253e-08 
 1.00000000e+04  1.00000000e+04  2.22163429e-09  1.58476053e-08 
 1.04712855e+04  1.04712855e+04  2.19802940e-09  1.56792243e-08 
 1.09647820e+04  1.09647820e+04  2.17524780e-09  1.55167161e-08 
 1.14815362e+04  1.14815362e+04  2.15326655e-09  1.53599170e-08 
 1.20226443e+04  1.20226443e+04  2.13206308e-09  1.52086661e-08 
 1.25892541e+04  1.25892541e+04  2.11161518e-09  1.50628049e-08 
 1.31825674e+04  1.31825674e+04  2.09190101e-09  1.49221776e-08 
 1.38038426e+04  1.38038426e+04  2.07289911e-09  1.47866311e-08 
 1.44543977e+04  1.44543977e+04  2.05458838e-09  1.46560151e-08 
 1.51356125e+04  1.51356125e+04  2.03694813e-09  1.45301817e-08 
 1.58489319e+04  1.58489319e+04  2.01995802e-09  1.44089860e-08 
 1.65958691e+04  1.65958691e+04  2.00359810e-09  1.42922856e-08 
 1.73780083e+04  1.73780083e+04  1.98784881e-09  1.41799411e-08 
 1.81970086e+04  1.81970086e+04  1.97269099e-09  1.40718156e-08 
 1.90546072e+04  1.90546072e+04  1.95810585e-09  1.39677753e-08 
 1.99526231e+04  1.99526231e+04  1.94407501e-09  1.38676889e-08 
 2.08929613e+04  2.08929613e+04  1.93058046e-09  1.37714282e-08 
 2.18776162e+04  2.18776162e+04  1.91760463e-09  1.36788676e-08 
 2.29086765e+04  2.29086765e+04  1.90513031e-09  1.35898843e-08 
 2.39883292e+04  2.39883292e+04  1.89314069e-09  1.35043587e-08 
 2.51188643e+04  2.51188643e+04  1.88161938e-09  1.34221736e-08 
 2.63026799e+04  2.63026799e+04  1.87055037e-09  1.33432150e-08 
 2.75422870e+04  2.75422870e+04  1.85991806e-09  1.32673714e-08 
 2.88403150e+04  2.88403150e+04  1.84970722e-09  1.31945343e-08 
 3.01995172e+04  3.01995172e+04  1.83990305e-09  1.31245982e-08 
 3.16227766e+04  3.16227766e+04  1.83049113e-09  1.30574600e-08 
 3.31131121e+04  3.31131121e+04  1.82145741e-09  1.29930197e-08 
 3.46736850e+04  3.46736850e+04  1.81278825e-09  1.29311799e-08 
 3.63078055e+04  3.63078055e+04  1.80447039e-09  1.28718460e-08 
 3.80189396e+04  3.80189396e+04  1.79649094e-09  1.28149261e-08 
 3.98107171e+04  3.98107171e+04  1.78883740e-09  1.27603311e-08 
 4.16869383e+04  4.16869383e+04  1.78149764e-09  1.27079742e-08 
 4.36515832e+04  4.36515832e+04  1.77445987e-09  1.26577717e-08 
 4.57088190e+04  4.57088190e+04  1.76771271e-09  1.26096421e-08 
 4.78630092e+04  4.78630092e+04  1.76124508e-09  1.25635065e-08 
 5.01187234e+04  5.01187234e+04  1.75504630e-09  1.25192887e-08 
 5.24807460e+04  5.24807460e+04  1.74910600e-09  1.24769147e-08 
 5.49540874e+04  5.49540874e+04  1.74341417e-09  1.24363131e-08 
 5.75439937e+04  5.75439937e+04  1.73796111e-09  1.23974147e-08 
 6.02559586e+04  6.02559586e+04  1.73273745e-09  1.23601528e-08 
 6.30957344e+04  6.30957344e+04  1.72773416e-09  1.23244627e-08 
 6.60693448e+04  6.60693448e+04  1.72294249e-09  1.22902822e-08 
 6.91830971e+04  6.91830971e+04  1.71835401e-09  1.22575512e-08 
 7.24435960e+04  7.24435960e+04  1.71396057e-09  1.22262114e-08 
 7.58577575e+04  7.58577575e+04  1.70975434e-09  1.21962071e-08 
 7.94328235e+04  7.94328235e+04  1.70572773e-09  1.21674840e-08 
 8.31763771e+04  8.31763771e+04  1.70187346e-09  1.21399903e-08 
 8.70963590e+04  8.70963590e+04  1.69818449e-09  1.21136758e-08 
 9.12010839e+04  9.12010839e+04  1.69465406e-09  1.20884921e-08 
 9.54992586e+04  9.54992586e+04  1.69127564e-09  1.20643928e-08 
 1.00000000e+05  1.00000000e+05  1.68804296e-09  1.20413331e-08 
 1.04712855e+05  1.04712855e+05  1.68494999e-09  1.20192700e-08 
 1.09647820e+05  1.09647820e+05  1.68199092e-09  1.19981620e-08 
 1.14815362e+05  1.14815362e+05  1.67916016e-09  1.19779693e-08 
